AT_USER goed om te horen! go-go-dinghygo!	ESFP
i'm checking yvesvekemans's tweetcloud URL	ENFP
AT_USER dan ben ik poepeloere zat!	ENFP
when is that iphone 4g in white available? it's almost my birthday! hurry	ENFP
wilson fisk daarentegen... puik karakter! daredevil netflix	ENFJ
you're flawless 💕	ISFP
AT_USER prachtfoto marco!	ESFP
blown away by this secret weapon! URL	ENFJ
final shopping in mumbai. some bargaining is good for your karma says ravi from indebo	ENFP
AT_USER thanks! it helps, together with a beer :)	ENFP
AT_USER thx bro!	ESFP
bikkieburgers bij de borrel na presentatie convcompany ? als je liked bordje omhoog!	ESFP
niet dat apple beter is hoor met die itunes bibliotheken van ze. wat was er mis met gewone mapjes?	ENFJ
ik ben zo zenuwachtig	ISFP
AT_USER stop lying	ISFP
AT_USER daar heb ik heule goeie spullen voor! als je terug bent op aarde maar eens bijpraten! :-)	ESFP
AT_USER , boeiend voor jou?	ENFJ
eindelijk: waarschuwingen bij bewerkte foto's in modebladen URL	ENFP
al proximus chatsessie geprobeerd voor klantvraag? na 15 min antwoord dat ik nr bgc verkooppunt moet? waw, die e-services fail norealtime	ENFP
AT_USER da's mooi! zeg eens eerlijk: goede zomer gehad? en beschrijf eens de typische gast die er nu is? :-)	ESFP
AT_USER tja laten we zeggen dat ik weer aan het 'minecraften' ben bij ouders thuis...	ENFJ
voka networking at jet lounge brussels airport and getting ready for our short but intense india adventure.	ENFP
really cool by supermooi_the_3rd URL htrophy southafrican talent	ENFP
als alle uitslovers (waaronder ik ;-) wat minder zouden overwerken, zou dat dan niet positief zijn voor het terugdringen van werkloosheid?	ENFJ
AT_USER gaaf zeg! (belde je net)	ESFP
AT_USER haha thanks maar hij is meer into football i.p.v. starwars ;-)	ENFJ
AT_USER AT_USER cimber airlines failliet. niet meer met vliegtuig naar bornholm! :-( dat was zooo makkelijk ...	ESFP
AT_USER AT_USER samenwerking met wie lars?	ESFP
vandaag een dagje werken aan de cyber awarness game met maureen. URL wordt gaaf :-)	ENFJ
pvv grootste in almere, gaat het 'proberen' in die stad: nu al aan het indekken. snel starten, dan zijn ze in juni gehalveerd. rememberlpf	ESTJ
teams getting ready for 67minutes htrophy mandeladay URL	ENFP
jee rt AT_USER social media responsibility URL	ENFP
AT_USER is geen sjorring voor ;-) je zou het met kruissjorring kunnen doen...	ENFJ
30 degrees outside, but we decided to sympathize with our friends in belgium and go for snow AT_USER URL	ENFP
wanneer gaan die mannen nu eindelijk eens het volkslied meezingen? wk reddevils	ENFP
AT_USER got several of those too! the only thing missing is a tent trailer. :-)	ESFP
thing to do in your vacation: laptop backuppen. jeeuh! URL	ENFJ
AT_USER duizenden gestrande reizigers op leiden voor schiphol. nul bussen. complete chaos hier...	ENFJ
la dispute is love, la dispute is life.	ISFP
de zomer loopt op zijn eind en bij mij begint het weer te kriebelen. zin om weer wat te gaan doen! maar wat? iemand een idee?	ESTJ
tsjikoe koei koei! (alleen voor echte bazen) URL	ENFJ
op tumblr kijken de honden altijd blij.. volgens mij doen we iets fout. URL	ISFP
whoppatee! personal record 30 minuten met als laatste track ren lenny ren runkeeper acdaendemunnik	ENFJ
AT_USER gutemorgen! viel spass!	ESFP
the pears in our garden are called beurré de mérode or double philippe. delicious when stewed with coffee and brown sugar, says monique.	ENFP
very busy but exciting times AT_USER htrophy URL	ENFP
AT_USER AT_USER je kan het best met elkaar oneens zijn. respect dat jullie toch de dialoog aan gaan!	ENFJ
sneu voor les bleues...	ESTJ
wat een shot, heerlijk! uit de film sexybeast. URL	ESTJ
ik heb een vreselijk rooster, life's great.	ISFP
AT_USER ben al eind op weg met import!	ESFP
AT_USER goed nieuws sjaak! bedankt voor de update. grote kans dat ik dit seizoen broodjes boven het vuur kom bakken. :-)	ESFP
current state of mind: too busy to tell people how busy i am	ENFP
AT_USER woon je in buurt van noordwijk? ik geef nu mijn kaarten weg! bequick	ESFP
AT_USER joehoe +1!!! :-)	ESFP
en nu ben ik jarig woeh	ISFP
great weather to have the week of the forest URL weekvanhetbos	ENFP
echt droog dit &gt;&gt; “AT_USER de eindscène van star wars is zonder epische muziek grappig en awkward URL	ENFJ
AT_USER hey wim, ik heb nog dvd's liggen van serie coast. nog inspiratie nodig? ukcoasttrip	ESFP
gerucht: releasedate xboxone in nl is 14 februari incl. twee gratis games aardig	ENFJ
AT_USER daar ben ik helemaal vóór! blijf stralen in 2012 jurjen, het is aanstekeijk! :-)	ESFP
you made me whole again.	ISFP
AT_USER being amazed by quantity of the underground city of blackreach	ENFJ
meisjes van scala moeten dringend wat meer sporten circle dikkebuik	ENFP
pleasure is all mine rt AT_USER ff creatieven die hebben gewerkt aan htrophy vibe 2012 AT_USER AT_USER ilja &tibor AT_USER	ENFP
tx &amp; ff back rt AT_USER ff aan onze tweeps AT_USER AT_USER AT_USER AT_USER AT_USER	ENFP
haha! humor AT_USER 'het nieuwe werken, dat is zeker net zoiets als het nieuwe rijden: weinig gasgeven!' hnw	ESFP
blijkbaar praat ik de laatste tijd veel in m'n slaap :')	ISFP
AT_USER jammer! maar ik kom wel even wafeltjes halen hoor!	ESFP
AT_USER fy	ISFP
tof!! microsoft opent presscon gewoon ff met hd beelden van nieuwe metal gear solid (tot nu toe sony's exclusive) muhaha	ENFJ
aan het eind van de prachtige begrafenis is er nog koffie. ik kijk om me heen op zoek naar hanneke. maar die hadden we juist net begraven..	ESTJ
big bigger biggest in dubai... meet the burj khalifa amongst the inflatables URL	ENFP
AT_USER echt?! ga weg! past niet bij jouw imago joh.	ENFJ
i really really really like you and i want you to want me too ✨	ISFP
ik heb pizza op m'n arm laten vallen en volgens mij heb ik het verbrand omg ik wil huilen	ISFP
ik zeg: AT_USER for president! wat jij AT_USER	ESFP
afbraak htrophy op recreatieoord binnenmaas. heeft altijd iets nostalgisch, zo'n afbraak... volgendjaar meervandat	ENFP
AT_USER ben je er morgen ook loes? dan zie ik je daar of anders woensdag?	ESFP
building the hercules village at 7he sevens. more pics on facebook/herculestrophy URL	ENFP
AT_USER hehe	ISFP
AT_USER veel plzeier weer op mf12 :-)	ESFP
kijk, shaft z'n nieuwe crib rocken ps4share URL	ENFJ
AT_USER doe er wat aan	ISFP
samen oud en tevree URL	ESTJ
AT_USER heb jer AT_USER van AT_USER of AT_USER al ontmoet op mocoam? goeiegasten	ESFP
AT_USER that's what i call an achievable and positive intention! enjoy...	ENFP
AT_USER which means it can only get better sweetie, hold on &lt;3	ISFP
AT_USER onderweg in de mail!	ESFP
ik mis vlees	ISFP
AT_USER goede feedback. thx! embedden van beelden helaas alleen silverlight, maar op uitzending gemist zelf ook flash beschikbaar.	ESFP
no	ISFP
AT_USER wat een prachtig gedicht jacob! heel ontroerend...	ESTJ
how i became an optimist, tony schwartz URL via AT_USER	ENFP
morgen naar giethoorn voor foto/videoshoot van xxl driepoot en barbeqar samen met AT_USER mooiweer kokenopvuur buitenspelen	ESFP
AT_USER hallo hans, leuk dat je me volgt. mooie job heb jij! :-) elkedagvakantie	ESFP
